propertyType,transactionType,furnished,address,rooms,bathrooms,surfaceArea,amenities,customAmenities,title,description,price (€)
loft,selling,unfurnished,"Șoseaua Colentina 85, Sector 2, București",3,1,78.8,"['elevator', 'gym', 'air-conditioning', 'pet-friendly']",[],"Loft in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located loft in Șoseaua Colentina 85, Sector 2, București.",148897.2
apartment,selling,furnished,"Șoseaua Colentina 85, Sector 2, București",2,2,63.3,"['wifi', 'pool']",[],"Apartment in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located apartment in Șoseaua Colentina 85, Sector 2, București.",110329.27
loft,selling,furnished,"Strada Lujerului 33, Sector 6, București",3,1,102.7,"['wifi', 'balcony', 'garden', 'air-conditioning', 'pet-friendly', 'parking']",[],"Loft in Strada Lujerului 33, Sector 6, București","Spacious and well-located loft in Strada Lujerului 33, Sector 6, București.",167931.41
house,selling,furnished,"Strada Aviației 10, Sector 1, București",5,3,181.3,"['dishwasher-washing', 'parking']",[],"House in Strada Aviației 10, Sector 1, București","Spacious and well-located house in Strada Aviației 10, Sector 1, București.",363199.24
apartment,selling,partially-furnished,"Strada Matei Basarab 50, Sector 3, București",3,2,100.9,"['balcony', 'heating']",[],"Apartment in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located apartment in Strada Matei Basarab 50, Sector 3, București.",157359.37
studio,selling,unfurnished,"Strada Progresului 60, Sector 5, București",1,1,30.3,"['garden', 'pool']",[],"Studio in Strada Progresului 60, Sector 5, București","Spacious and well-located studio in Strada Progresului 60, Sector 5, București.",43519.18
penthouse,selling,furnished,"Șoseaua Colentina 85, Sector 2, București",5,3,217.9,"['pet-friendly', 'wifi']",[],"Penthouse in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located penthouse in Șoseaua Colentina 85, Sector 2, București.",404780.41
apartment,selling,furnished,"Strada Rahova 89, Sector 5, București",3,1,94.9,"['garden', 'parking', 'dishwasher-washing', 'wifi']",[],"Apartment in Strada Rahova 89, Sector 5, București","Spacious and well-located apartment in Strada Rahova 89, Sector 5, București.",131068.1
loft,selling,furnished,"Strada Rahova 89, Sector 5, București",2,2,72.9,"['elevator', 'dishwasher-washing', 'air-conditioning']",[],"Loft in Strada Rahova 89, Sector 5, București","Spacious and well-located loft in Strada Rahova 89, Sector 5, București.",95251.21
studio,selling,partially-furnished,"Strada Băneasa 12, Sector 1, București",1,1,31.6,"['pet-friendly', 'wifi', 'heating']",[],"Studio in Strada Băneasa 12, Sector 1, București","Spacious and well-located studio in Strada Băneasa 12, Sector 1, București.",72493.95
penthouse,selling,unfurnished,"Strada Turnu Măgurele 145, Sector 4, București",3,3,92.6,"['pool', 'air-conditioning', 'gym', 'parking', 'elevator']",[],"Penthouse in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located penthouse in Strada Turnu Măgurele 145, Sector 4, București.",125374.53
loft,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",3,1,115.6,"['heating', 'garden']",[],"Loft in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located loft in Strada Matei Basarab 50, Sector 3, București.",191280.37
loft,selling,unfurnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",2,1,63.0,"['air-conditioning', 'gym', 'wifi', 'parking', 'heating']",[],"Loft in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located loft in Bulevardul Iuliu Maniu 202, Sector 6, București.",112063.87
apartment,selling,partially-furnished,"Calea Șerban Vodă 112, Sector 4, București",4,2,125.6,"['pool', 'garden', 'wifi', 'dishwasher-washing']",[],"Apartment in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located apartment in Calea Șerban Vodă 112, Sector 4, București.",195264.66
penthouse,selling,partially-furnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",5,3,209.2,"['garden', 'pet-friendly', 'pool']",[],"Penthouse in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located penthouse in Bulevardul Iuliu Maniu 202, Sector 6, București.",351348.25
penthouse,selling,furnished,"Șoseaua Colentina 85, Sector 2, București",3,3,120.6,"['garden', 'pool', 'wifi']",[],"Penthouse in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located penthouse in Șoseaua Colentina 85, Sector 2, București.",204175.43
house,selling,furnished,"Strada Matei Basarab 50, Sector 3, București",4,2,166.0,"['dishwasher-washing', 'balcony', 'elevator']",[],"House in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located house in Strada Matei Basarab 50, Sector 3, București.",254594.22
house,selling,furnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",6,2,249.5,"['parking', 'dishwasher-washing']",[],"House in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located house in Bulevardul Iuliu Maniu 202, Sector 6, București.",396895.83
studio,selling,unfurnished,"Strada Rahova 89, Sector 5, București",1,1,36.1,"['balcony', 'air-conditioning', 'heating']",[],"Studio in Strada Rahova 89, Sector 5, București","Spacious and well-located studio in Strada Rahova 89, Sector 5, București.",46318.36
loft,selling,furnished,"Strada Lujerului 33, Sector 6, București",2,1,62.1,"['pool', 'garden', 'wifi']",[],"Loft in Strada Lujerului 33, Sector 6, București","Spacious and well-located loft in Strada Lujerului 33, Sector 6, București.",108952.21
apartment,selling,furnished,"Șoseaua Colentina 85, Sector 2, București",2,1,45.6,"['pet-friendly', 'balcony', 'elevator', 'heating', 'gym', 'air-conditioning']",[],"Apartment in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located apartment in Șoseaua Colentina 85, Sector 2, București.",79288.13
studio,selling,furnished,"Calea Șerban Vodă 112, Sector 4, București",1,1,31.9,"['wifi', 'parking']",[],"Studio in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located studio in Calea Șerban Vodă 112, Sector 4, București.",43693.66
loft,selling,partially-furnished,"Calea Șerban Vodă 112, Sector 4, București",2,2,66.6,"['garden', 'elevator']",[],"Loft in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located loft in Calea Șerban Vodă 112, Sector 4, București.",105007.04
studio,selling,partially-furnished,"Strada Matei Basarab 50, Sector 3, București",1,1,42.3,"['air-conditioning', 'pet-friendly', 'parking', 'wifi', 'garden', 'heating']",[],"Studio in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located studio in Strada Matei Basarab 50, Sector 3, București.",63963.04
penthouse,selling,partially-furnished,"Calea Șerban Vodă 112, Sector 4, București",5,3,183.2,"['pet-friendly', 'balcony', 'pool']",[],"Penthouse in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located penthouse in Calea Șerban Vodă 112, Sector 4, București.",260528.14
loft,selling,furnished,"Strada Matei Basarab 50, Sector 3, București",3,2,121.2,"['dishwasher-washing', 'wifi', 'air-conditioning', 'elevator', 'balcony']",[],"Loft in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located loft in Strada Matei Basarab 50, Sector 3, București.",204342.39
loft,selling,unfurnished,"Strada Aviației 10, Sector 1, București",2,1,89.9,"['gym', 'air-conditioning', 'dishwasher-washing', 'pet-friendly']",[],"Loft in Strada Aviației 10, Sector 1, București","Spacious and well-located loft in Strada Aviației 10, Sector 1, București.",207978.06
studio,selling,partially-furnished,"Bulevardul Decebal 23, Sector 3, București",1,1,32.1,"['wifi', 'pet-friendly', 'air-conditioning', 'gym']",[],"Studio in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located studio in Bulevardul Decebal 23, Sector 3, București.",55372.66
penthouse,selling,furnished,"Strada Matei Basarab 50, Sector 3, București",5,2,229.2,"['elevator', 'garden', 'dishwasher-washing', 'heating', 'wifi']",[],"Penthouse in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located penthouse in Strada Matei Basarab 50, Sector 3, București.",375710.4
studio,selling,furnished,"Strada Progresului 60, Sector 5, București",1,1,34.5,"['pet-friendly', 'wifi', 'dishwasher-washing', 'elevator']",[],"Studio in Strada Progresului 60, Sector 5, București","Spacious and well-located studio in Strada Progresului 60, Sector 5, București.",48994.32
penthouse,selling,unfurnished,"Șoseaua Colentina 85, Sector 2, București",4,2,156.0,"['balcony', 'wifi', 'parking', 'pool', 'gym']",[],"Penthouse in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located penthouse in Șoseaua Colentina 85, Sector 2, București.",293237.73
penthouse,selling,partially-furnished,"Strada Aviației 10, Sector 1, București",4,3,181.8,"['parking', 'gym', 'elevator', 'balcony', 'air-conditioning', 'garden']",[],"Penthouse in Strada Aviației 10, Sector 1, București","Spacious and well-located penthouse in Strada Aviației 10, Sector 1, București.",382574.19
penthouse,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",4,3,163.8,"['air-conditioning', 'heating', 'balcony']",[],"Penthouse in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located penthouse in Strada Matei Basarab 50, Sector 3, București.",245511.93
studio,selling,unfurnished,"Strada Rahova 89, Sector 5, București",1,1,35.5,"['balcony', 'gym', 'pool']",[],"Studio in Strada Rahova 89, Sector 5, București","Spacious and well-located studio in Strada Rahova 89, Sector 5, București.",51574.68
house,selling,furnished,"Strada Rahova 89, Sector 5, București",6,4,227.5,"['parking', 'heating']",[],"House in Strada Rahova 89, Sector 5, București","Spacious and well-located house in Strada Rahova 89, Sector 5, București.",307425.74
loft,selling,unfurnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",3,1,99.6,"['gym', 'air-conditioning', 'wifi', 'pool']",[],"Loft in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located loft in Bulevardul Iuliu Maniu 202, Sector 6, București.",155750.47
penthouse,selling,partially-furnished,"Strada Matei Basarab 50, Sector 3, București",3,3,122.1,"['parking', 'elevator', 'heating', 'wifi', 'balcony']",[],"Penthouse in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located penthouse in Strada Matei Basarab 50, Sector 3, București.",203242.96
apartment,selling,unfurnished,"Șoseaua Colentina 85, Sector 2, București",2,1,74.5,"['dishwasher-washing', 'balcony', 'pool']",[],"Apartment in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located apartment in Șoseaua Colentina 85, Sector 2, București.",142996.76
house,selling,furnished,"Strada Turnu Măgurele 145, Sector 4, București",5,3,177.7,"['pool', 'dishwasher-washing', 'garden', 'pet-friendly', 'air-conditioning', 'gym']",[],"House in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located house in Strada Turnu Măgurele 145, Sector 4, București.",285348.3
apartment,selling,partially-furnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",4,2,119.5,"['balcony', 'air-conditioning', 'elevator', 'gym']",[],"Apartment in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located apartment in Bulevardul Iuliu Maniu 202, Sector 6, București.",212654.44
loft,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",3,1,92.0,"['parking', 'heating', 'gym', 'pool', 'balcony', 'wifi']",[],"Loft in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located loft in Strada Matei Basarab 50, Sector 3, București.",155265.99
house,selling,unfurnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",6,2,226.5,"['dishwasher-washing', 'balcony', 'air-conditioning', 'elevator', 'pool']",[],"House in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located house in Bulevardul Iuliu Maniu 202, Sector 6, București.",361372.11
loft,selling,partially-furnished,"Strada Băneasa 12, Sector 1, București",3,1,112.1,"['balcony', 'air-conditioning']",[],"Loft in Strada Băneasa 12, Sector 1, București","Spacious and well-located loft in Strada Băneasa 12, Sector 1, București.",251059.77
loft,selling,partially-furnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",2,2,61.5,"['gym', 'air-conditioning', 'heating', 'dishwasher-washing', 'parking']",[],"Loft in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located loft in Bulevardul Iuliu Maniu 202, Sector 6, București.",96284.38
penthouse,selling,furnished,"Calea Șerban Vodă 112, Sector 4, București",5,3,217.1,"['pool', 'dishwasher-washing']",[],"Penthouse in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located penthouse in Calea Șerban Vodă 112, Sector 4, București.",339766.69
apartment,selling,furnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",4,1,111.4,"['balcony', 'gym', 'dishwasher-washing']",[],"Apartment in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located apartment in Bulevardul Iuliu Maniu 202, Sector 6, București.",176037.18
apartment,selling,unfurnished,"Strada Lujerului 33, Sector 6, București",4,1,114.8,"['gym', 'wifi', 'air-conditioning', 'balcony', 'elevator']",[],"Apartment in Strada Lujerului 33, Sector 6, București","Spacious and well-located apartment in Strada Lujerului 33, Sector 6, București.",187935.55
loft,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",2,2,52.6,"['garden', 'air-conditioning']",[],"Loft in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located loft in Strada Matei Basarab 50, Sector 3, București.",76091.78
apartment,selling,furnished,"Șoseaua Colentina 85, Sector 2, București",3,2,101.4,"['air-conditioning', 'balcony', 'garden']",[],"Apartment in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located apartment in Șoseaua Colentina 85, Sector 2, București.",167805.55
apartment,selling,furnished,"Calea Șerban Vodă 112, Sector 4, București",3,2,99.7,"['heating', 'pet-friendly', 'wifi', 'gym', 'balcony']",[],"Apartment in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located apartment in Calea Șerban Vodă 112, Sector 4, București.",137541.59
apartment,selling,unfurnished,"Bulevardul Decebal 23, Sector 3, București",3,1,77.3,"['parking', 'dishwasher-washing']",[],"Apartment in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located apartment in Bulevardul Decebal 23, Sector 3, București.",125180.41
house,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",6,2,234.8,"['garden', 'air-conditioning', 'balcony', 'gym', 'elevator']",[],"House in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located house in Strada Matei Basarab 50, Sector 3, București.",351049.56
loft,selling,partially-furnished,"Șoseaua Colentina 85, Sector 2, București",2,2,66.6,"['heating', 'dishwasher-washing', 'gym', 'parking', 'pet-friendly', 'elevator']",[],"Loft in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located loft in Șoseaua Colentina 85, Sector 2, București.",109503.87
studio,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",1,1,32.9,"['dishwasher-washing', 'pool']",[],"Studio in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located studio in Strada Matei Basarab 50, Sector 3, București.",56125.33
apartment,selling,furnished,"Strada Lujerului 33, Sector 6, București",2,2,80.0,"['garden', 'pet-friendly', 'wifi', 'dishwasher-washing', 'balcony', 'air-conditioning']",[],"Apartment in Strada Lujerului 33, Sector 6, București","Spacious and well-located apartment in Strada Lujerului 33, Sector 6, București.",125089.83
studio,selling,unfurnished,"Strada Lujerului 33, Sector 6, București",1,1,32.8,"['wifi', 'gym', 'air-conditioning']",[],"Studio in Strada Lujerului 33, Sector 6, București","Spacious and well-located studio in Strada Lujerului 33, Sector 6, București.",58724.94
penthouse,selling,unfurnished,"Calea Șerban Vodă 112, Sector 4, București",5,2,187.9,"['pet-friendly', 'air-conditioning', 'dishwasher-washing', 'balcony', 'garden', 'wifi']",[],"Penthouse in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located penthouse in Calea Șerban Vodă 112, Sector 4, București.",270900.62
studio,selling,unfurnished,"Calea Moșilor 155, Sector 2, București",1,1,26.7,"['pool', 'heating', 'parking', 'gym']",[],"Studio in Calea Moșilor 155, Sector 2, București","Spacious and well-located studio in Calea Moșilor 155, Sector 2, București.",44025.12
house,selling,furnished,"Strada Lujerului 33, Sector 6, București",5,3,184.7,"['wifi', 'balcony', 'parking', 'elevator', 'dishwasher-washing']",[],"House in Strada Lujerului 33, Sector 6, București","Spacious and well-located house in Strada Lujerului 33, Sector 6, București.",341585.55
studio,selling,furnished,"Șoseaua Colentina 85, Sector 2, București",1,1,42.2,"['air-conditioning', 'heating', 'pet-friendly']",[],"Studio in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located studio in Șoseaua Colentina 85, Sector 2, București.",78365.76
studio,selling,partially-furnished,"Șoseaua Colentina 85, Sector 2, București",1,1,36.2,"['pool', 'dishwasher-washing']",[],"Studio in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located studio in Șoseaua Colentina 85, Sector 2, București.",65345.76
studio,selling,furnished,"Strada Progresului 60, Sector 5, București",1,1,36.2,"['balcony', 'wifi', 'heating', 'pet-friendly', 'pool']",[],"Studio in Strada Progresului 60, Sector 5, București","Spacious and well-located studio in Strada Progresului 60, Sector 5, București.",47186.83
apartment,selling,unfurnished,"Strada Lujerului 33, Sector 6, București",4,1,112.9,"['pool', 'pet-friendly', 'wifi', 'air-conditioning']",[],"Apartment in Strada Lujerului 33, Sector 6, București","Spacious and well-located apartment in Strada Lujerului 33, Sector 6, București.",188643.51
studio,selling,unfurnished,"Șoseaua Colentina 85, Sector 2, București",1,1,41.3,"['balcony', 'garden', 'dishwasher-washing', 'pool']",[],"Studio in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located studio in Șoseaua Colentina 85, Sector 2, București.",77091.25
apartment,selling,unfurnished,"Strada Turnu Măgurele 145, Sector 4, București",2,1,65.7,"['heating', 'dishwasher-washing', 'pool', 'pet-friendly', 'garden', 'wifi']",[],"Apartment in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located apartment in Strada Turnu Măgurele 145, Sector 4, București.",101930.93
penthouse,selling,furnished,"Strada Matei Basarab 50, Sector 3, București",3,3,113.8,"['parking', 'elevator', 'heating']",[],"Penthouse in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located penthouse in Strada Matei Basarab 50, Sector 3, București.",165434.69
loft,selling,partially-furnished,"Strada Turnu Măgurele 145, Sector 4, București",3,2,95.6,"['elevator', 'parking', 'air-conditioning', 'pet-friendly', 'pool']",[],"Loft in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located loft in Strada Turnu Măgurele 145, Sector 4, București.",149694.6
house,selling,partially-furnished,"Strada Aviației 10, Sector 1, București",4,4,159.0,"['garden', 'heating', 'pet-friendly', 'balcony', 'wifi', 'pool']",[],"House in Strada Aviației 10, Sector 1, București","Spacious and well-located house in Strada Aviației 10, Sector 1, București.",374754.61
apartment,selling,partially-furnished,"Strada Lujerului 33, Sector 6, București",3,1,81.3,"['heating', 'pet-friendly', 'garden', 'elevator', 'balcony', 'pool']",[],"Apartment in Strada Lujerului 33, Sector 6, București","Spacious and well-located apartment in Strada Lujerului 33, Sector 6, București.",139646.67
loft,selling,partially-furnished,"Strada Lujerului 33, Sector 6, București",2,1,68.3,"['parking', 'elevator', 'dishwasher-washing', 'balcony', 'heating', 'pet-friendly']",[],"Loft in Strada Lujerului 33, Sector 6, București","Spacious and well-located loft in Strada Lujerului 33, Sector 6, București.",125904.99
apartment,selling,partially-furnished,"Strada Progresului 60, Sector 5, București",4,1,121.5,"['wifi', 'pool']",[],"Apartment in Strada Progresului 60, Sector 5, București","Spacious and well-located apartment in Strada Progresului 60, Sector 5, București.",168422.42
studio,selling,partially-furnished,"Strada Rahova 89, Sector 5, București",1,1,31.7,"['gym', 'air-conditioning', 'heating', 'dishwasher-washing', 'wifi']",[],"Studio in Strada Rahova 89, Sector 5, București","Spacious and well-located studio in Strada Rahova 89, Sector 5, București.",47349.66
penthouse,selling,unfurnished,"Strada Progresului 60, Sector 5, București",5,2,167.1,"['garden', 'pool', 'elevator']",[],"Penthouse in Strada Progresului 60, Sector 5, București","Spacious and well-located penthouse in Strada Progresului 60, Sector 5, București.",241401.74
penthouse,selling,partially-furnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",4,3,166.7,"['pet-friendly', 'gym', 'dishwasher-washing', 'elevator', 'air-conditioning', 'garden']",[],"Penthouse in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located penthouse in Bulevardul Iuliu Maniu 202, Sector 6, București.",291105.95
penthouse,selling,unfurnished,"Strada Turnu Măgurele 145, Sector 4, București",4,3,150.4,"['elevator', 'dishwasher-washing', 'garden']",[],"Penthouse in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located penthouse in Strada Turnu Măgurele 145, Sector 4, București.",211501.27
loft,selling,partially-furnished,"Strada Matei Basarab 50, Sector 3, București",2,1,71.4,"['balcony', 'heating', 'parking', 'gym']",[],"Loft in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located loft in Strada Matei Basarab 50, Sector 3, București.",112405.19
penthouse,selling,furnished,"Bulevardul Decebal 23, Sector 3, București",5,2,198.1,"['balcony', 'heating']",[],"Penthouse in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located penthouse in Bulevardul Decebal 23, Sector 3, București.",326758.91
penthouse,selling,partially-furnished,"Bulevardul Decebal 23, Sector 3, București",3,3,146.6,"['wifi', 'air-conditioning']",[],"Penthouse in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located penthouse in Bulevardul Decebal 23, Sector 3, București.",233586.22
house,selling,unfurnished,"Strada Turnu Măgurele 145, Sector 4, București",5,2,200.6,"['dishwasher-washing', 'pool', 'balcony', 'heating', 'garden', 'elevator']",[],"House in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located house in Strada Turnu Măgurele 145, Sector 4, București.",288104.52
